n   bubble   insertion   selection   merge   quick  std::sort   quick_hybrid
5  2.9541e-07  2.0291e-07  3.1875e-07  2.71208e-06  3.775e-07  5.5917e-07  3.5125e-07
10  1.10875e-06  5.2458e-07  1.05584e-06  4.89958e-06  7.3667e-07  9.6167e-07  7.5125e-07
15  2.18375e-06  8.5541e-07  1.79084e-06  7.67417e-06  1.23375e-06  1.58084e-06  1.45417e-06
20  3.74459e-06  1.36834e-06  3.05625e-06  8.8125e-06  1.45292e-06  2.25083e-06  1.61291e-06
25  7.02167e-06  2.19125e-06  5.22959e-06  1.20896e-05  2.96375e-06  4.12709e-06  2.95917e-06
30  1.07983e-05  2.90375e-06  8.11458e-06  1.15892e-05  3.46334e-06  4.13875e-06  2.99625e-06
35  1.05079e-05  3.11e-06  6.7875e-06  1.37267e-05  3.75667e-06  4.81875e-06  3.63292e-06
40  1.16046e-05  3.27125e-06  7.1275e-06  1.33275e-05  3.68208e-06  4.795e-06  3.70916e-06
45  1.35958e-05  3.42042e-06  7.84458e-06  1.36221e-05  3.71375e-06  4.7475e-06  3.7375e-06
50  1.50467e-05  4.15583e-06  8.9175e-06  1.40883e-05  3.7225e-06  5.16916e-06  3.61166e-06
55  1.54621e-05  4.3275e-06  9.36334e-06  1.50363e-05  4.17208e-06  5.47042e-06  3.55542e-06
60  1.68817e-05  4.63958e-06  9.93125e-06  1.49862e-05  4.32709e-06  5.50167e-06  3.4875e-06
65  1.81462e-05  4.89167e-06  1.07104e-05  1.52367e-05  4.40375e-06  5.73416e-06  3.81375e-06
70  1.99675e-05  5.29875e-06  1.13121e-05  1.56175e-05  4.20792e-06  5.64083e-06  3.83958e-06
75  2.13212e-05  6.11292e-06  1.24242e-05  1.65938e-05  4.46875e-06  5.96625e-06  3.95e-06
80  2.29271e-05  6.15541e-06  1.33925e-05  1.58004e-05  4.72292e-06  6.29583e-06  4.14334e-06
85  2.48787e-05  6.36209e-06  1.38437e-05  1.64504e-05  4.89417e-06  6.32917e-06  4.27042e-06
90  2.64762e-05  6.87542e-06  1.48087e-05  1.746e-05  5.11958e-06  6.64542e-06  4.50083e-06
95  2.76408e-05  7.47333e-06  1.57617e-05  1.77646e-05  5.1225e-06  6.74958e-06  4.66292e-06
100  2.94279e-05  7.81209e-06  1.70379e-05  1.92058e-05  5.77417e-06  7.47584e-06  5.33542e-06
